game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-09-01,86.3,-0.87,6.15,"Blanco, Ronel",686681,669854,strikeout,swinging_strike,7,L,R,HOU,KC,S,2,NA,2,2,-0.54,1.51,664728,502054,NA,2,5,Top,3.45,1.6,NA,NA,NA,87.3,1424,37,6,Changeup,3,0,0,3
2024-09-01,93.4,-1.6,5.07,"Nola, Aaron",518595,605400,strikeout,called_strike,6,R,R,PHI,ATL,S,2,NA,2,2,0.59,2.29,NA,NA,NA,2,6,Top,3.59,1.65,NA,NA,NA,94.1,2279,40,5,Sinker,0,2,2,0
2024-09-01,83.7,-0.71,6.25,"Blanco, Ronel",686681,669854,NA,foul,4,L,R,HOU,KC,S,NA,NA,2,2,-0.59,2.67,664728,502054,NA,2,5,Top,3.45,1.6,NA,NA,NA,84.5,2295,37,5,Curveball,3,0,0,3
2024-09-01,83,-0.87,6.22,"Blanco, Ronel",686681,669854,NA,swinging_strike,13,L,R,HOU,KC,S,NA,NA,2,1,-0.51,0.99,664728,502054,NA,2,5,Top,3.45,1.6,NA,NA,NA,83.7,2348,37,4,Curveball,3,0,0,3
2024-09-01,80.2,-0.61,6.07,"Myers, Tobias",663697,668964,double,hit_into_play,3,R,R,CIN,MIL,X,7,line_drive,0,2,0.48,2.72,NA,NA,666181,2,6,Bot,3.2,1.45,345,106.4,20,80.5,2396,52,4,Curveball,3,3,3,3
2024-09-01,78.8,-1.65,5.21,"Nola, Aaron",518595,605400,NA,ball,14,R,R,PHI,ATL,B,NA,NA,1,2,0.82,1.19,NA,NA,NA,2,6,Top,3.56,1.72,NA,NA,NA,79.2,2633,40,4,Knuckle Curve,0,2,2,0
2024-09-01,82.9,2.48,5.65,"Wrobleski, Justin",682998,680736,single,hit_into_play,4,L,L,AZ,LAD,X,8,ground_ball,1,0,-0.36,2.53,NA,672695,NA,1,6,Bot,3.11,1.47,17,101,-8,81.8,2122,57,2,Curveball,9,3,9,3
2024-09-01,78.5,-1.67,5.14,"Nola, Aaron",518595,605400,NA,ball,14,R,R,PHI,ATL,B,NA,NA,0,2,0.76,0.63,NA,NA,NA,2,6,Top,3.54,1.66,NA,NA,NA,78.9,2527,40,3,Knuckle Curve,0,2,2,0
2024-09-01,90.7,2.12,5.66,"Wrobleski, Justin",682998,680736,NA,ball,11,L,L,AZ,LAD,B,NA,NA,0,0,-0.26,3.59,NA,NA,672695,1,6,Bot,3.09,1.43,NA,NA,NA,89.2,2401,57,1,4-Seam Fastball,9,3,9,3
2024-09-01,93.4,-2.98,5.67,"Pfaadt, Brandon",605131,694297,single,hit_into_play,8,R,R,AZ,LAD,X,9,ground_ball,0,1,-0.07,1.88,NA,669242,NA,2,6,Top,3.22,1.49,142,97.3,6,94.4,2281,53,2,Sinker,9,2,2,9
2024-09-01,95.2,-0.88,6.2,"Blanco, Ronel",686681,669854,NA,ball,11,L,R,HOU,KC,B,NA,NA,1,1,-1.34,3.38,664728,502054,NA,2,5,Top,3.45,1.61,NA,NA,NA,95.7,2285,37,3,4-Seam Fastball,3,0,0,3
2024-09-01,94,-0.66,5.99,"Myers, Tobias",663697,668964,NA,foul,12,R,R,CIN,MIL,S,NA,NA,0,2,0.55,3.54,NA,NA,666181,2,6,Bot,3.2,1.45,212,81.2,68,94.8,2272,52,3,4-Seam Fastball,3,3,3,3
2024-09-01,93.8,-1.58,5.19,"Nola, Aaron",518595,605400,NA,foul,2,R,R,PHI,ATL,S,NA,NA,0,1,0.05,3.12,NA,NA,NA,2,6,Top,3.49,1.62,230,82.6,63,95.3,2432,40,2,4-Seam Fastball,0,2,2,0
2024-09-01,94,-0.68,6.02,"Myers, Tobias",663697,668964,NA,foul,3,R,R,CIN,MIL,S,NA,NA,0,1,0.65,3.2,NA,NA,666181,2,6,Bot,3.2,1.45,233,74.4,30,94.5,2303,52,2,4-Seam Fastball,3,3,3,3
2024-09-01,85.8,-0.73,6.14,"Blanco, Ronel",686681,669854,NA,blocked_ball,13,L,R,HOU,KC,B,NA,NA,0,1,-0.03,0.05,664728,502054,NA,2,5,Top,3.45,1.57,NA,NA,NA,86.3,1515,37,2,Changeup,3,0,0,3
2024-09-01,91.2,2.19,5.76,"Wrobleski, Justin",672695,680736,single,hit_into_play,2,R,L,AZ,LAD,X,9,ground_ball,0,0,0.07,2.89,NA,NA,NA,1,6,Bot,3.45,1.62,127,71.9,11,89.8,2256,56,1,4-Seam Fastball,9,3,9,3
2024-09-01,86.1,-3.38,5.38,"Pfaadt, Brandon",605131,694297,NA,called_strike,4,R,R,AZ,LAD,S,NA,NA,0,0,-0.39,2.28,NA,669242,NA,2,6,Top,3.25,1.35,NA,NA,NA,86.4,2882,53,1,Sweeper,9,2,2,9
2024-09-01,93.9,-1.66,5.12,"Nola, Aaron",518595,605400,NA,swinging_strike,2,R,R,PHI,ATL,S,NA,NA,0,0,-0.01,2.97,NA,NA,NA,2,6,Top,3.49,1.62,NA,NA,NA,94.8,2423,40,1,4-Seam Fastball,0,2,2,0
2024-09-01,92.7,1.92,5.74,"Wrobleski, Justin",645444,680736,field_out,hit_into_play,3,R,L,AZ,LAD,X,8,line_drive,2,2,0.64,3.1,NA,NA,NA,0,6,Bot,3.13,1.39,311,101.6,15,91.1,2309,55,5,4-Seam Fastball,9,3,9,3
2024-09-01,95.2,-0.89,6.29,"Blanco, Ronel",686681,669854,NA,called_strike,4,L,R,HOU,KC,S,NA,NA,0,0,-0.65,2.59,664728,502054,NA,2,5,Top,3.36,1.57,NA,NA,NA,95.5,2268,37,1,4-Seam Fastball,3,0,0,3
2024-09-01,93.1,3.6,5.03,"Manaea, Sean",678246,640455,field_out,hit_into_play,5,R,L,CWS,NYM,X,7,fly_ball,3,1,-0.01,2.4,683734,NA,657757,2,7,Bot,3.37,1.6,297,88.2,46,94.2,1990,52,5,Sinker,0,1,0,1
2024-09-01,93.6,-0.79,6.02,"Myers, Tobias",663697,668964,NA,swinging_strike,3,R,R,CIN,MIL,S,NA,NA,0,0,0.48,2.8,NA,NA,666181,2,6,Bot,3.2,1.45,NA,NA,NA,94,2380,52,1,4-Seam Fastball,3,3,3,3
2024-09-01,86.9,-3.3,5.35,"Pfaadt, Brandon",595281,694297,field_out,hit_into_play,7,L,R,AZ,LAD,X,4,ground_ball,0,0,-0.62,1.84,666158,NA,669242,1,6,Top,3.39,1.59,8,70.4,-12,87.8,2100,52,1,Changeup,9,1,1,9
2024-09-01,93.6,-1.44,6.03,"Dana, Caden",593871,702674,field_out,hit_into_play,4,L,R,LAA,SEA,X,9,fly_ball,0,0,-0.32,2.22,NA,NA,663728,2,6,Top,3.39,1.61,311,82.7,32,94.1,2102,46,1,4-Seam Fastball,3,2,2,3
2024-09-01,87.9,-1.15,6.08,"Blanco, Ronel",677951,669854,field_out,hit_into_play,14,R,R,HOU,KC,X,3,ground_ball,2,1,0.29,0.86,NA,664728,502054,1,5,Top,3.49,1.63,2,83.3,-24,89,2121,36,4,Slider,3,0,0,3
2024-09-01,93.3,2.01,5.7,"Wrobleski, Justin",645444,680736,NA,ball,12,R,L,AZ,LAD,B,NA,NA,1,2,0.67,3.73,NA,NA,NA,0,6,Bot,3.11,1.44,NA,NA,NA,91.9,2357,55,4,4-Seam Fastball,9,3,9,3
2024-09-01,93.4,3.71,5.15,"Manaea, Sean",678246,640455,NA,called_strike,1,R,L,CWS,NYM,S,NA,NA,3,0,-0.38,3.21,683734,NA,657757,2,7,Bot,3.21,1.38,NA,NA,NA,94.8,1960,52,4,Sinker,0,1,0,1
2024-09-01,92.3,-1.58,5.1,"Nola, Aaron",621566,605400,field_out,hit_into_play,2,L,R,PHI,ATL,X,7,fly_ball,2,2,0.13,3.15,NA,NA,NA,1,6,Top,3.54,1.75,326,93.8,44,93.7,2302,39,5,Sinker,0,2,2,0
2024-09-01,94.1,-3.01,5.73,"Pfaadt, Brandon",571970,694297,strikeout,swinging_strike,11,L,R,AZ,LAD,S,2,NA,0,2,-0.96,2.71,666158,NA,669242,0,6,Top,3.09,1.5,NA,NA,NA,95.2,2502,51,3,4-Seam Fastball,9,1,1,9
2024-09-01,91.9,-0.73,6.09,"Myers, Tobias",682622,668964,field_out,hit_into_play,2,R,R,CIN,MIL,X,7,line_drive,1,2,0.16,3.62,NA,NA,666181,1,6,Bot,3.54,1.73,305,100.3,19,92.3,2299,51,4,4-Seam Fastball,3,3,3,3
2024-09-01,85.7,-0.86,6.13,"Myers, Tobias",682622,668964,NA,ball,12,R,R,CIN,MIL,B,NA,NA,0,2,0.02,3.72,NA,NA,666181,1,6,Bot,3.54,1.64,NA,NA,NA,86.3,2173,51,3,Slider,3,3,3,3
2024-09-01,93.6,-1.6,5.06,"Nola, Aaron",621566,605400,NA,foul,5,L,R,PHI,ATL,S,NA,NA,2,1,-0.26,2.96,NA,NA,NA,1,6,Top,3.54,1.75,207,75.4,23,94.6,2516,39,4,4-Seam Fastball,0,2,2,0
2024-09-01,84.7,2.18,5.72,"Wrobleski, Justin",645444,680736,NA,foul,5,R,L,AZ,LAD,S,NA,NA,1,1,0.04,2.08,NA,NA,NA,0,6,Bot,3.13,1.39,178,68.1,55,83.5,2196,55,3,Curveball,9,3,9,3
2024-09-01,93.6,3.57,5.16,"Manaea, Sean",678246,640455,NA,ball,12,R,L,CWS,NYM,B,NA,NA,2,0,0.86,3.28,683734,NA,657757,2,7,Bot,3.21,1.41,NA,NA,NA,94.9,2013,52,3,4-Seam Fastball,0,1,0,1
2024-09-01,90.4,-1.63,5.78,"Ober, Bailey",677870,641927,strikeout,swinging_strike,6,R,R,MIN,TOR,S,2,NA,1,2,0.37,2.44,NA,664770,676391,2,6,Top,3.29,1.58,NA,NA,NA,92.6,2188,43,4,4-Seam Fastball,0,1,1,0
2024-09-01,84.8,-1.13,6.1,"Blanco, Ronel",677951,669854,NA,ball,11,R,R,HOU,KC,B,NA,NA,1,1,-1.13,4.31,NA,664728,502054,1,5,Top,3.47,1.61,NA,NA,NA,85.6,1522,36,3,Changeup,3,0,0,3
2024-09-01,85.6,-1.99,5.61,"Dana, Caden",668227,702674,strikeout,called_strike,11,R,R,LAA,SEA,S,2,NA,3,2,-0.83,3.08,NA,NA,663728,1,6,Top,3.28,1.54,NA,NA,NA,86.2,2037,45,6,Slider,3,2,2,3
2024-09-01,94.1,-2.89,5.51,"Pfaadt, Brandon",571970,694297,NA,called_strike,3,L,R,AZ,LAD,S,NA,NA,0,1,0.48,2.66,666158,NA,669242,0,6,Top,3.02,1.46,NA,NA,NA,94.8,2474,51,2,Sinker,9,1,1,9
2024-09-01,93.9,-3.04,5.72,"Pfaadt, Brandon",571970,694297,NA,swinging_strike,2,L,R,AZ,LAD,S,NA,NA,0,0,0.08,2.8,666158,NA,669242,0,6,Top,3.09,1.5,NA,NA,NA,94.8,2474,51,1,4-Seam Fastball,9,1,1,9
2024-09-01,92.5,-1.65,5.18,"Nola, Aaron",621566,605400,NA,ball,11,L,R,PHI,ATL,B,NA,NA,1,1,-0.48,4.39,NA,NA,NA,1,6,Top,3.61,1.79,NA,NA,NA,93.4,2410,39,3,4-Seam Fastball,0,2,2,0
2024-09-01,77.1,-1.37,5.99,"Ober, Bailey",677870,641927,NA,ball,1,R,R,MIN,TOR,B,NA,NA,0,2,-0.74,2.97,NA,664770,676391,2,6,Top,3.02,1.4,NA,NA,NA,78.6,2101,43,3,Slider,0,1,1,0
2024-09-01,92.8,3.79,5.19,"Manaea, Sean",678246,640455,NA,ball,12,R,L,CWS,NYM,B,NA,NA,1,0,1.57,3.26,683734,NA,657757,2,7,Bot,3.21,1.49,NA,NA,NA,94,1961,52,2,Sinker,0,1,0,1
2024-09-01,88.6,2.02,5.74,"Wrobleski, Justin",645444,680736,NA,called_strike,5,R,L,AZ,LAD,S,NA,NA,1,0,-0.15,2.34,NA,NA,NA,0,6,Bot,3.2,1.45,NA,NA,NA,87.1,2128,55,2,4-Seam Fastball,9,3,9,3
2024-09-01,87.9,-1.02,6.12,"Blanco, Ronel",677951,669854,NA,ball,14,R,R,HOU,KC,B,NA,NA,0,1,1.41,1.34,NA,664728,502054,1,5,Top,3.49,1.56,NA,NA,NA,89.3,2105,36,2,Slider,3,0,0,3
2024-09-01,86.5,-1.04,5.97,"Myers, Tobias",682622,668964,NA,foul,8,R,R,CIN,MIL,S,NA,NA,0,1,-0.07,1.73,NA,NA,666181,1,6,Bot,3.54,1.73,2,74.9,-34,87.1,2173,51,2,Slider,3,3,3,3
2024-09-01,93.8,-1.53,5.96,"Dana, Caden",668227,702674,NA,ball,13,R,R,LAA,SEA,B,NA,NA,2,2,-0.81,1,NA,NA,663728,1,6,Top,3.31,1.55,NA,NA,NA,94.3,2022,45,5,4-Seam Fastball,3,2,2,3
2024-09-01,89,2.2,5.69,"Wrobleski, Justin",645444,680736,NA,ball,12,R,L,AZ,LAD,B,NA,NA,0,0,1.25,3.72,NA,NA,NA,0,6,Bot,3.18,1.37,NA,NA,NA,87.6,2186,55,1,4-Seam Fastball,9,3,9,3
2024-09-01,94,-3.09,5.52,"Pfaadt, Brandon",669242,694297,single,hit_into_play,5,L,R,AZ,LAD,X,9,ground_ball,3,2,0.22,2.17,NA,NA,666158,0,6,Top,3.19,1.43,6,104.9,-19,94.8,2532,50,8,4-Seam Fastball,9,1,1,9
2024-09-01,93.1,3.87,5.08,"Manaea, Sean",678246,640455,NA,ball,12,R,L,CWS,NYM,B,NA,NA,0,0,0.78,3.42,683734,NA,657757,2,7,Bot,3.21,1.44,NA,NA,NA,94.6,2058,52,1,Sinker,0,1,0,1
2024-09-01,79.4,-1.54,5.21,"Nola, Aaron",621566,605400,NA,ball,14,L,R,PHI,ATL,B,NA,NA,0,1,1.7,0.95,NA,NA,NA,1,6,Top,3.63,1.78,NA,NA,NA,79.8,2570,39,2,Knuckle Curve,0,2,2,0
2024-09-01,88.1,-1.25,6.12,"Blanco, Ronel",677951,669854,NA,called_strike,4,R,R,HOU,KC,S,NA,NA,0,0,-0.65,2.57,NA,664728,502054,1,5,Top,3.49,1.64,NA,NA,NA,89.3,2144,36,1,Slider,3,0,0,3
2024-09-01,84.4,-0.97,6.04,"Myers, Tobias",682622,668964,NA,swinging_strike,14,R,R,CIN,MIL,S,NA,NA,0,0,0.53,0.89,NA,NA,666181,1,6,Bot,3.54,1.73,NA,NA,NA,85.4,2062,51,1,Slider,3,3,3,3
2024-09-01,94.7,-1.49,6.11,"Dana, Caden",668227,702674,NA,ball,14,R,R,LAA,SEA,B,NA,NA,1,2,0.88,1.86,NA,NA,663728,1,6,Top,3.38,1.63,NA,NA,NA,95.9,2024,45,4,4-Seam Fastball,3,2,2,3
2024-09-01,83,-1.43,6.06,"Ober, Bailey",677870,641927,NA,foul,5,R,R,MIN,TOR,S,NA,NA,0,1,-0.26,2.51,NA,664770,676391,2,6,Top,3.29,1.58,184,69.4,50,84.5,1885,43,2,Changeup,0,1,1,0
2024-09-01,94,-2.97,5.67,"Pfaadt, Brandon",669242,694297,NA,foul,1,L,R,AZ,LAD,S,NA,NA,3,2,-0.66,2.74,NA,NA,666158,0,6,Top,3.19,1.43,249,83.3,53,94.9,2515,50,7,4-Seam Fastball,9,1,1,9
2024-09-01,90.1,2.12,5.59,"Wrobleski, Justin",621028,680736,field_out,hit_into_play,5,R,L,AZ,LAD,X,8,fly_ball,0,0,0.05,2.4,NA,NA,553993,2,5,Bot,3.14,1.5,299,91.4,46,88.9,2199,48,1,4-Seam Fastball,9,1,9,1
2024-09-01,80.7,-0.88,5.85,"Myers, Tobias",666181,668964,walk,blocked_ball,14,L,R,CIN,MIL,B,NA,NA,3,2,1.17,0.32,NA,NA,NA,1,6,Bot,3.66,1.77,NA,NA,NA,81.7,1762,50,9,Changeup,3,3,3,3
2024-09-01,92.7,-1.56,5.15,"Nola, Aaron",621566,605400,NA,foul,12,L,R,PHI,ATL,S,NA,NA,0,0,1.08,3.4,NA,NA,NA,1,6,Top,3.54,1.75,85,74.8,9,94.1,2406,39,1,4-Seam Fastball,0,2,2,0
2024-09-01,90.3,-1.62,5.84,"Ober, Bailey",677870,641927,NA,called_strike,6,R,R,MIN,TOR,S,NA,NA,0,0,0.34,2.12,NA,664770,676391,2,6,Top,3.13,1.46,NA,NA,NA,92.4,2306,43,1,4-Seam Fastball,0,1,1,0
2024-09-01,94,-0.96,6.2,"Blanco, Ronel",502054,669854,single,hit_into_play,6,R,R,HOU,KC,X,8,line_drive,2,2,0.76,2.62,NA,NA,664728,1,5,Top,3.57,1.65,88,109.1,3,95,2286,35,5,4-Seam Fastball,3,0,0,3
2024-09-01,84.1,-1.73,5.4,"Miller, Bryce",543685,682243,single,hit_into_play,9,R,R,LAA,SEA,X,6,line_drive,0,0,0.43,1.86,621493,687263,NA,2,5,Bot,3.35,1.57,164,101.1,8,83.9,2232,41,1,Sweeper,1,2,1,2
2024-09-01,85.6,-1.97,5.63,"Dana, Caden",668227,702674,NA,ball,14,R,R,LAA,SEA,B,NA,NA,0,2,1.32,1.67,NA,NA,663728,1,6,Top,3.4,1.52,NA,NA,NA,86.3,2024,45,3,Slider,3,2,2,3
2024-09-01,93.3,3.38,5.04,"Manaea, Sean",657757,640455,single,hit_into_play,3,L,L,CWS,NYM,X,7,line_drive,3,2,0.29,3.31,NA,NA,683734,2,7,Bot,3.29,1.62,250,80.9,21,94.8,2074,51,7,Sinker,0,1,0,1
2024-09-01,94.4,-1.25,5.06,"Webb, Logan",682073,657277,field_out,hit_into_play,5,R,R,SF,MIA,X,3,ground_ball,1,2,0.16,2.44,NA,NA,672701,2,6,Top,3.58,1.72,3,67.5,-39,96,1886,51,4,Sinker,5,6,6,5
2024-09-01,82.8,-1.49,6.1,"Ober, Bailey",680718,641927,strikeout,swinging_strike,7,L,R,MIN,TOR,S,2,NA,1,2,-0.74,1.73,NA,664770,676391,1,6,Top,3.59,1.69,NA,NA,NA,84.6,1900,42,4,Changeup,0,1,1,0
2024-09-01,93.6,3.36,5.04,"Manaea, Sean",657757,640455,NA,foul,3,L,L,CWS,NYM,S,NA,NA,3,2,0.29,3,NA,NA,683734,2,7,Bot,3.29,1.62,260,69.5,40,95.4,1969,51,6,4-Seam Fastball,0,1,0,1
2024-09-01,83,2.17,5.66,"Wrobleski, Justin",553993,680736,field_error,hit_into_play,8,R,L,AZ,LAD,X,5,ground_ball,1,1,-0.2,1.63,NA,NA,NA,2,5,Bot,3.46,1.57,70,101.3,3,81.8,2141,47,3,Curveball,9,1,9,1
2024-09-01,89.7,-0.87,5.9,"Myers, Tobias",666181,668964,NA,foul,7,L,R,CIN,MIL,S,NA,NA,3,2,-0.67,2.04,NA,NA,NA,1,6,Bot,3.67,1.77,NA,NA,NA,90.6,2123,50,8,Cutter,3,3,3,3
2024-09-01,93.2,-2.87,5.45,"Pfaadt, Brandon",669242,694297,NA,ball,14,L,R,AZ,LAD,B,NA,NA,2,2,1.07,1.96,NA,NA,666158,0,6,Top,3.19,1.43,NA,NA,NA,93.6,2308,50,6,Sinker,9,1,1,9
2024-09-01,79.3,-1.67,5.12,"Nola, Aaron",542303,605400,field_out,hit_into_play,8,R,R,PHI,ATL,X,8,fly_ball,2,2,-0.01,1.99,NA,NA,NA,0,6,Top,3.55,1.77,373,99.8,34,79.6,2607,38,5,Knuckle Curve,0,2,2,0
2024-09-01,95.5,-1.09,5.8,"Miller, Bryce",694384,682243,field_out,hit_into_play,2,L,R,LAA,SEA,X,8,fly_ball,1,2,0.08,2.82,NA,621493,687263,1,5,Bot,3.33,1.56,338,86.7,31,95.6,2434,40,4,4-Seam Fastball,1,2,1,2
2024-09-01,94.7,-0.93,6.14,"Blanco, Ronel",502054,669854,NA,called_strike,9,R,R,HOU,KC,S,NA,NA,2,1,0.37,1.48,NA,NA,664728,1,5,Top,3.39,1.6,NA,NA,NA,95.6,2262,35,4,4-Seam Fastball,3,0,0,3
2024-09-01,75.6,-2.66,6.69,"Mikolas, Miles",650402,571945,single,hit_into_play,5,R,R,NYY,STL,X,7,ground_ball,2,2,0.13,2.04,NA,683011,657077,0,5,Bot,3.18,1.47,47,91.2,0,75.7,2449,45,5,Curveball,4,7,4,7
2024-09-01,92.7,-1.51,5.94,"Dana, Caden",668227,702674,NA,swinging_strike,4,R,R,LAA,SEA,S,NA,NA,0,1,-0.69,2.66,NA,NA,663728,1,6,Top,3.35,1.57,NA,NA,NA,93.7,2045,45,2,4-Seam Fastball,3,2,2,3
2024-09-01,94.8,-0.93,5.99,"Pepiot, Ryan",669134,686752,walk,ball,14,R,R,TB,SD,B,NA,NA,3,1,1.1,2.19,NA,NA,444482,0,4,Top,3.41,1.51,NA,NA,NA,94.7,2333,26,5,4-Seam Fastball,0,2,2,0
2024-09-01,93.5,-1.55,5.14,"Nola, Aaron",542303,605400,NA,swinging_strike,12,R,R,PHI,ATL,S,NA,NA,2,1,1.03,2.83,NA,NA,NA,0,6,Top,3.55,1.77,NA,NA,NA,94.6,2363,38,4,4-Seam Fastball,0,2,2,0
2024-09-01,93.5,-1.57,5.87,"Dana, Caden",668227,702674,NA,called_strike,6,R,R,LAA,SEA,S,NA,NA,0,0,0.29,2.27,NA,NA,663728,1,6,Top,3.29,1.51,NA,NA,NA,94.5,1977,45,1,4-Seam Fastball,3,2,2,3
2024-09-01,93.7,-0.93,6.24,"Blanco, Ronel",502054,669854,NA,ball,14,R,R,HOU,KC,B,NA,NA,1,1,1.43,2.35,NA,NA,664728,1,5,Top,3.46,1.76,NA,NA,NA,94.4,2212,35,3,4-Seam Fastball,3,0,0,3
2024-09-01,81.2,-3.25,5.64,"Pfaadt, Brandon",669242,694297,NA,foul,13,L,R,AZ,LAD,S,NA,NA,2,2,-0.46,1.18,NA,NA,666158,0,6,Top,3.19,1.43,2,63.3,-40,81.3,2619,50,5,Curveball,9,1,1,9
2024-09-01,91.7,3.42,5.08,"Manaea, Sean",657757,640455,NA,swinging_strike,1,L,L,CWS,NYM,S,NA,NA,3,1,-0.38,3.38,NA,NA,683734,2,7,Bot,3.29,1.62,NA,NA,NA,93,2016,51,5,Sinker,0,1,0,1
2024-09-01,84.3,-1.81,5.34,"Miller, Bryce",694384,682243,NA,foul,8,L,R,LAA,SEA,S,NA,NA,1,1,0.07,1.49,NA,621493,687263,1,5,Bot,3.33,1.56,1,19.8,-57,84.4,853,40,3,Split-Finger,1,2,1,2
2024-09-01,81.7,2.27,5.61,"Wrobleski, Justin",553993,680736,NA,ball,13,R,L,AZ,LAD,B,NA,NA,0,1,-0.58,0.74,NA,NA,NA,2,5,Bot,3.53,1.56,NA,NA,NA,80.4,2229,47,2,Curveball,9,1,9,1
2024-09-01,87.2,-0.8,5.95,"Myers, Tobias",666181,668964,NA,foul,5,L,R,CIN,MIL,S,NA,NA,3,2,0.09,3.03,NA,NA,NA,1,6,Bot,3.67,1.77,5,69.9,-33,88.1,2069,50,7,Slider,3,3,3,3
2024-09-01,95,1.38,6.19,"Parker, Mitchell",665804,680730,strikeout,swinging_strike,3,R,L,WSH,CHC,S,2,NA,2,2,0.69,3.46,NA,NA,NA,2,6,Top,3.36,1.59,NA,NA,NA,95.6,2290,45,6,4-Seam Fastball,1,4,4,1
2024-09-01,90.2,-1.59,5.84,"Ober, Bailey",680718,641927,NA,foul,4,L,R,MIN,TOR,S,NA,NA,1,1,-0.44,2.5,NA,664770,676391,1,6,Top,3.59,1.69,186,73.3,21,92.3,2282,42,3,4-Seam Fastball,0,1,1,0
2024-09-01,86.9,-2.84,6.51,"Mikolas, Miles",650402,571945,NA,called_strike,9,R,R,NYY,STL,S,NA,NA,2,1,0.72,1.75,NA,683011,657077,0,5,Bot,3.2,1.44,NA,NA,NA,87.3,2319,45,4,Slider,4,7,4,7
2024-09-01,88.6,-1.51,4.85,"Webb, Logan",682073,657277,NA,swinging_strike,7,R,R,SF,MIA,S,NA,NA,1,1,-0.79,2.03,NA,NA,672701,2,6,Top,3.58,1.72,NA,NA,NA,89.8,1374,51,3,Changeup,5,6,6,5
2024-09-01,94.5,-1.18,5.15,"Webb, Logan",682073,657277,NA,called_strike,5,R,R,SF,MIA,S,NA,NA,1,0,0.23,2.39,NA,NA,672701,2,6,Top,3.59,1.74,NA,NA,NA,95.4,1985,51,2,Sinker,5,6,6,5
2024-09-01,94.3,-0.92,6.05,"Pepiot, Ryan",669134,686752,NA,called_strike,4,R,R,TB,SD,S,NA,NA,3,0,-0.46,2.27,NA,NA,444482,0,4,Top,3.49,1.52,NA,NA,NA,94.1,2348,26,4,4-Seam Fastball,0,2,2,0
2024-09-01,86.4,-1.16,6.1,"Blanco, Ronel",502054,669854,NA,swinging_strike,14,R,R,HOU,KC,S,NA,NA,1,0,0.84,2.6,NA,NA,664728,1,5,Top,3.57,1.65,NA,NA,NA,87.6,2074,35,2,Slider,3,0,0,3
2024-09-01,93.4,-1.5,6.08,"Dana, Caden",663728,702674,walk,ball,14,L,R,LAA,SEA,B,NA,NA,3,2,0.19,1.29,NA,NA,NA,1,6,Top,3.52,1.55,NA,NA,NA,94.2,2057,44,8,4-Seam Fastball,3,2,2,3
2024-09-01,85.9,-2.8,6.65,"Mikolas, Miles",650402,571945,NA,swinging_strike,5,R,R,NYY,STL,S,NA,NA,2,0,0.19,2.26,NA,683011,657077,0,5,Bot,3.18,1.47,NA,NA,NA,86.3,2191,45,3,Slider,4,7,4,7
2024-09-01,75.9,3.2,5.53,"Manaea, Sean",657757,640455,NA,ball,12,L,L,CWS,NYM,B,NA,NA,2,1,0.74,4.18,NA,NA,683734,2,7,Bot,3.16,1.59,NA,NA,NA,76.4,2214,51,4,Sweeper,0,1,0,1
2024-09-01,90.6,-1.68,5.86,"Ober, Bailey",680718,641927,NA,called_strike,4,L,R,MIN,TOR,S,NA,NA,1,0,-0.54,2.79,NA,664770,676391,1,6,Top,3.66,1.83,NA,NA,NA,92.9,2243,42,2,4-Seam Fastball,0,1,1,0
2024-09-01,84.3,-1.45,5.48,"Miller, Bryce",694384,682243,NA,blocked_ball,14,L,R,LAA,SEA,B,NA,NA,0,1,0.79,0.65,NA,621493,687263,1,5,Bot,3.58,1.65,NA,NA,NA,84.9,2239,40,2,Knuckle Curve,1,2,1,2
2024-09-01,91.4,2.15,5.71,"Wrobleski, Justin",553993,680736,NA,called_strike,8,R,L,AZ,LAD,S,NA,NA,0,0,-0.08,2.11,NA,NA,NA,2,5,Bot,3.62,1.6,NA,NA,NA,89.8,2300,47,1,4-Seam Fastball,9,1,9,1
2024-09-01,93,-3.08,5.65,"Pfaadt, Brandon",669242,694297,NA,foul,1,L,R,AZ,LAD,S,NA,NA,2,1,-0.75,3.13,NA,NA,666158,0,6,Top,3.19,1.43,239,74.9,31,93.8,2478,50,4,4-Seam Fastball,9,1,1,9
2024-09-01,85.1,1.5,6.16,"Parker, Mitchell",665804,680730,NA,ball,13,R,L,WSH,CHC,B,NA,NA,1,2,-0.57,1.1,NA,NA,NA,2,6,Top,3.27,1.45,NA,NA,NA,86,1054,45,5,Split-Finger,1,4,4,1
2024-09-01,92.2,-1.67,5.09,"Nola, Aaron",542303,605400,NA,ball,14,R,R,PHI,ATL,B,NA,NA,1,1,1.34,2.1,NA,NA,NA,0,6,Top,3.55,1.77,NA,NA,NA,93.2,2301,38,3,Sinker,0,2,2,0
